family,seed,policy,related_tasks,off_solved,on_solved,verify_minus_off_success_fraction,off_mean_cost_usd,on_mean_cost_usd,verify_minus_off_mean_cost_usd
expression_engine,47,supervised_cost,3,3,3,0.0,0.00012666666666666666,0.0009559999999999999,0.0008293333333333333
expression_engine,73,adaptive,3,3,3,0.0,0.00011133333333333333,0.00010466666666666666,-6.666666666666675e-06
expression_engine,73,cheap_only,3,3,3,0.0,7.1e-05,7.2e-05,9.999999999999972e-07
expression_engine,73,escalate_on_failure,3,3,3,0.0,7.333333333333333e-05,7.1e-05,-2.333333333333327e-06
expression_engine,73,static_router,3,3,3,0.0,7.2e-05,7.466666666666666e-05,2.666666666666659e-06
expression_engine,73,strong_only,3,3,3,0.0,0.000105,0.000111,5.999999999999997e-06
expression_engine,73,supervised_cost,3,3,3,0.0,0.0005153333333333334,0.000113,-0.0004023333333333334
expression_engine,101,adaptive,3,3,3,0.0,0.000115,0.000117,1.9999999999999944e-06
expression_engine,101,cheap_only,3,3,3,0.0,7.566666666666666e-05,7.566666666666666e-05,0.0
expression_engine,101,escalate_on_failure,3,3,3,0.0,7.433333333333333e-05,7.666666666666667e-05,2.3333333333333404e-06
expression_engine,101,static_router,3,3,3,0.0,7.5e-05,7.566666666666666e-05,6.666666666666648e-07
expression_engine,101,strong_only,3,3,3,0.0,0.000111,0.00012233333333333334,1.1333333333333342e-05
expression_engine,101,supervised_cost,3,3,3,0.0,0.00011633333333333333,0.00011633333333333333,0.0
